What is the core motive of the iCodeGuru community?,"Share, Learn, and Grow."
Who is the founder of iCodeGuru?,Dr. Zafar Shahid.
What is the primary mission of iCodeGuru?,To increase employability by developing high-tech skills in students.
Which specific high-tech skills does iCodeGuru focus on to help students get hired by multinational companies?,"Programming, LeetCode, and Data Structures and Algorithms (DSA)."
How frequently are live sessions run on the iCodeGuru platform?,Daily with over 20 sessions.
What type of weekend activities does iCodeGuru conduct with international mentors?,Webinars and weekly workshops.
"What is the cost of taking Python, GRE, or Duolingo courses at iCodeGuru?",They are 100% free.
In how many international hackathons and competitions have iCodeGuru students participated?,Over 700.
How many teams from iCodeGuru solved all nine puzzles in the Harvard CS50x Puzzle Day 2025?,259 teams.
How many iCodeGuru coders were selected for the MIT Emerging Talent Program out of 320 global selections?,Three coders.
What was the result for iCodeGuru students in the Google Code Jam 2023?,31 students participated.
What is the typical IELTS band range for iCodeGuru students who secure fully funded scholarships?,6.5 to 7.5.
What is the typical CGPA range for iCodeGuru students receiving fully funded scholarships?,3.1 to 3.8.
What is the range for study gaps allowed for students grabbing scholarships through iCodeGuru?,1 to 15 years.
What is the monthly scholarship stipend range mentioned for successful candidates?,$100 to $3000.
"In what year did iCodeGuru start, and how many students are connected as of 2026?","Started in 2020 with over 40,000 students connected by 2026."
What is Harvard CS50x Puzzle Day?,A signature event hosted by Harvard University involving the solving of logic puzzles.
Is prior coding experience required to participate in CS50x Puzzle Day?,No prior coding experience is necessary.
How long is the duration of the CS50x Puzzle Day event?,It takes place over a period of three days.
What is the primary goal of participants during CS50x Puzzle Day?,To solve puzzles and submit the answers by the final deadline.
Why is participating in CS50x Puzzle Day beneficial for a student's CV?,It provides a certificate from Harvard University that highlights logic and problem-solving skills.
What specific skill does solving these puzzles help improve according to the source?,Logical problem-solving skills.
What role does teamwork play in CS50x Puzzle Day?,Participants are encouraged to work in teams to brainstorm and merge different ideas.
What external tools are participants explicitly encouraged to use during the puzzle-solving process?,The internet and Artificial Intelligence (AI).
Where can participants find the official rules and puzzle packets for CS50x Puzzle Day?,On the official CS50x Harvard Puzzle Day website.
How are the final answers for the puzzles typically formatted?,As an English word or a short phrase.
What is a 'Mega Puzzle' in the context of the CS50x Puzzle Day packet?,A final puzzle that requires the answers of previous puzzles to be solved.
How many previous puzzles must be solved to typically attempt the Mega Puzzle?,At least six puzzles.
Where can participants look for teammates if they do not have a local team?,"On platforms like LinkedIn, Discord, or the iCodeGuru Slack channel."
How are winners and correct answers announced at the end of the event?,Through a live stream on Zoom.
Which country had one of the highest levels of participation in the CS50x Puzzle Day last year?,Pakistan.
What is the maximum number of members allowed in a single team for the event?,Four members.
What specific account is mandatory for the team leader to submit the solutions?,A GitHub account.
What is the minimum number of puzzles that usually need to be solved to receive a certificate?,Five puzzles.
When do the CS50x Puzzle Day events typically start according to the 2026 session info?,April 3rd.
The process of solving puzzles with people from different backgrounds is intended to improve _____.,Communication skills.
True or False: Participants must show a bank statement to receive iCodeGuru scholarship assistance.,False.
Which university's competition involves 'Around the World' and 'Banana Anagrams' puzzles?,Harvard University (CS50x).
What is the primary platform used by iCodeGuru for community communication and finding teammates?,Slack.
How can a student access iCodeGuru sessions if they miss the live broadcast?,By watching the recorded videos on their YouTube channel.
What type of knowledge is primarily tested in CS50x Puzzle Day?,General knowledge and logical reasoning.
The final submission for the team is handled by the _____.,Team leader.
"In the context of iCodeGuru, what does 'FAANG' (or 'PANG') refer to?",Top-tier tech companies whose interview problems are taught to students.
"According to the training session, what is the best way to prepare for this year's puzzles?",By practicing with puzzle packets from previous years.
"In 2025, how many iCodeGuru mentors served as 'Section Leaders' at Stanford University?",Over 240 mentors.
What is the name of the final puzzle that integrates previous answers?,The Mega Puzzle.
Why does CS50x encourage the use of 'Human Intelligence' alongside AI?,To integrate AI's approach with human-led logic and team coordination.
What is the first step a participant should take after the training session to participate?,Register using the form on the official website.
What does a certificate from this event explicitly state regarding your performance?,The number of puzzles you successfully solved out of the total.
Which iCodeGuru team member is mentioned alongside Dr. Zafar Shahid as part of the leadership team?,"Dr. Rizwan Ghaffar (or Kaleem Anwar, Amir Khan, Khalid Pocker)."
What is the role of the 'Section Leader' mentioned in the context of Stanford University?,A mentor who leads a specific section or group in a coding competition.
How can participants verify if their registration for Puzzle Day was successful?,By checking for a response confirmation in their email.
Does iCodeGuru help students with local and international job documentation?,"Yes, they assist in making documents for internships and jobs."
What is the status of publication requirements for iCodeGuru students securing scholarships?,Zero publications are required.
Is the GRE mandatory for all students assisted by iCodeGuru in getting scholarships?,"No, many do not have to take the GRE."
What is the main format used for the CS50x puzzle competition?,An online PDF packet released on a specific date.
How long do teams have to solve the puzzles before the submission deadline?,Three days.
Which iCodeGuru platform provides the most recent updates on competitions?,The Facebook (FB) page.
Can a student participate in CS50x Puzzle Day individually?,"Yes, though teamwork is highly encouraged."
What was the specific participation count for iCodeGuru in Google Code Jam 2023?,31 students.
Which group in Abu Dhabi provided internships to iCodeGuru students after they won international hackathons?,Etihad Aviation Group.
What are the common puzzle names mentioned from the 2025 packet?,"Around the World, Banana Anagrams, and Blind Maze."
What is the intended outcome of working with international team members?,Gaining different perspectives and improving communication.
The training session aims to build _____ through pattern recognition from past puzzles.,Logic Building.
What is the maximum number of puzzles typically included in the CS50x packet?,Between eight and eleven puzzles.
